V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q1,Q2,Q13,Q3,Q12,Q4,Q10,Q6_1,Q6_2,Q6_3,Q6_3_TEXT,Q6_4,Q5_1,Q5_2,Q5_3,Q5_3_TEXT,Q5_5,Q5_8,LocationLatitude,LocationLongitude,LocationAccuracy,
R_27ahf4uVfOcOeN5,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-19 19:16:46,2016-07-19 19:21:37,1,3,164,3,1,1,1,,,,1,"Independent t-tests were used to determine whether sex, own- ing an AVG at home and prior participation in organised striking sports influenced the outcome scores and therefore should be con- sidered a confounding variable (p<0.10). Child age was ini- tially adjusted for but removed due to lack of significance. Model two also adjusted for owning a game at home, while model three also adjusted for participant sex. ",,,1,,,,,44.804595947266,-93.137100219727,-1,
R_1EiKlqqkBoeyOTO,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-19 19:21:38,2016-07-19 19:28:47,1,3,166,3,1,2,2,,,1,,,,,,,,,,44.804595947266,-93.137100219727,-1,
R_1hDTVn6MtzRaOtW,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-19 19:28:48,2016-07-19 19:29:47,1,3,167,3,1,3,1,,,,,,,1,,,,,,44.804595947266,-93.137100219727,-1,
R_An9HHg5srixcFDb,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-19 19:29:48,2016-07-19 19:33:47,1,3,168,3,5,2,2,,,,,,,,,,,,,44.804595947266,-93.137100219727,-1,
R_10AgPMibGgsbGix,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-19 19:33:48,2016-07-19 19:35:07,1,3,170,3,1,3,1,,,,,,,1,,,,,,44.804595947266,-93.137100219727,-1,
R_2BsrflxDZsj8myb,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-19 19:35:08,2016-07-19 19:54:08,1,3,171,3,1,1,1,,,1,,,,,1,,,,,44.804595947266,-93.137100219727,-1,
R_2waWS3L2ly3u8K1,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-19 19:55:11,2016-07-19 19:57:47,1,3,174,3,5,1,1,,,,,,,,,,,,,44.804595947266,-93.137100219727,-1,
R_29wR5qT6rjM0jDP,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-19 20:02:08,2016-07-19 20:04:16,1,3,177,3,1,2,2,,,1,,,,,,,,,,44.804595947266,-93.137100219727,-1,
R_1o76tMNP515cis6,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-19 20:04:17,2016-07-19 20:05:48,1,3,178,3,1,2,1,baseline info combined with post-intervention table 2,,,,,,,,,,1,,44.804595947266,-93.137100219727,-1,
R_3q9yPDZhZFXWH1z,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-19 20:05:49,2016-07-19 20:06:26,1,3,179,3,1,2,1,,,,,,,1,,,,,,44.804595947266,-93.137100219727,-1,
R_2ygylPgQnBC5MSM,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-19 20:06:27,2016-07-19 20:07:01,1,3,180,3,1,1,1,,,,,,,1,,,,,,44.804595947266,-93.137100219727,-1,
R_2PCq2eBSb4Qm5Xt,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-19 20:13:13,2016-07-19 20:15:25,1,3,183,3,1,2,1,There were no meaningful differences in baseline variables between the groups...not sure if meaningful equates to significance. ,,1,,,,,1,,,,,44.804595947266,-93.137100219727,-1,
R_zbVuIHtaPkETrZn,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-19 20:15:26,2016-07-19 20:19:50,1,3,184,3,1,2,1,,,,,,,1,,,,,,44.804595947266,-93.137100219727,-1,
R_214UpyhFbo15hSl,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-19 20:19:51,2016-07-19 20:20:24,1,3,185,3,1,1,1,,,,,,,1,,,,,,44.804595947266,-93.137100219727,-1,
R_XBN0VAW5xtwbcdP,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-19 20:20:25,2016-07-19 20:21:57,1,3,186,3,5,1,2,,,,,,,,,,,,,44.804595947266,-93.137100219727,-1,
R_1oA4h3WpLtESXQd,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-19 20:28:08,2016-07-19 20:29:33,1,3,191,3,1,2,1,"There was no pre-operative difference of the KSS between both groups (n.s.),",,,,,,1,,,,,,44.804595947266,-93.137100219727,-1,
R_3EEbON3DjnH8mJA,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-19 20:29:34,2016-07-19 20:32:51,1,3,193,3,1,1,1,age and BMD were compared statistically,,,1,"Intergroup differences for age, BMD, failure angle, and failure torque were analysed using ANOVA.",,,1,,,,,44.804595947266,-93.137100219727,-1,
R_2fIGoPDAzJGBFge,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-19 20:32:52,2016-07-19 20:33:47,1,3,194,3,1,3,1,,,,,,,,,,,1,,44.804595947266,-93.137100219727,-1,
R_1F3XPtWrgMzdbA6,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-19 20:38:04,2016-07-19 20:38:50,1,3,197,3,1,2,1,,,,,,,1,,,,,,44.804595947266,-93.137100219727,-1,
R_2znz8CtUD9Ob8wZ,Default Response Set,Anonymous,,,131.212.248.219,0,2016-07-20 09:16:33,2016-07-20 09:27:17,1,1,210,3,5,1,2,No counterbalancing.,,,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_vcnTdSJlrVP6DDz,Default Response Set,Anonymous,,,131.212.248.219,0,2016-07-20 09:48:25,2016-07-20 09:51:35,1,1,215,3,1,1,1,,,,1,"There were no significant differences between HET, HFT, and CON at pretest with regard to age, height, body mass, leg length, stance phase duration, swing phase duration, freely chosen stride frequencies during walking and running, and freely chosen pedalling frequency (p = 0.233–0.955)",,,1,,,,,44.97590637207,-93.216598510742,-1,
R_2YEy0bbOn2JGtHP,Default Response Set,Anonymous,,,131.212.248.219,0,2016-07-20 09:51:36,2016-07-20 09:56:41,1,1,216,3,1,2,2,,,1,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_3fPir8sgqdTFGL8,Default Response Set,Anonymous,,,131.212.248.219,0,2016-07-20 09:56:42,2016-07-20 09:59:47,1,1,217,3,1,1,2,,,1,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_1EhsnM9q1bIdQZa,Default Response Set,Anonymous,,,131.212.249.4,0,2016-07-20 09:59:48,2016-07-20 11:36:15,1,1,218,3,5,3,2,,,,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_QiYUTxrqYxaINPj,Default Response Set,Anonymous,,,131.212.249.4,0,2016-07-20 11:40:51,2016-07-20 11:55:48,1,1,222,3,1,1,2,,,1,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_3Gp00GYhN4wTqG6,Default Response Set,Anonymous,,,131.212.249.4,0,2016-07-20 11:56:38,2016-07-20 11:57:19,1,1,227,3,1,1,1,,,,,,,1,,,,,,44.97590637207,-93.216598510742,-1,
R_ufPIeOWc2Zi001j,Default Response Set,Anonymous,,,131.212.249.4,0,2016-07-20 11:57:20,2016-07-20 12:00:33,1,1,228,3,1,1,1,,,1,,,,,1,,,,,44.97590637207,-93.216598510742,-1,
R_8qZcCJ6RVJPih1f,Default Response Set,Anonymous,,,131.212.249.4,0,2016-07-20 12:00:34,2016-07-20 12:05:21,1,1,229,3,1,2,1,,,,,,,1,,,,,,44.97590637207,-93.216598510742,-1,
R_2Xd1L2y6uXylDaU,Default Response Set,Anonymous,,,131.212.249.4,0,2016-07-20 12:05:21,2016-07-20 12:09:06,1,1,230,3,1,1,1,,,,1,There were no significant differences between E+S and E in any of the measured variables at baseline.,,,1,,,,,44.97590637207,-93.216598510742,-1,
R_9AA0FhgrY1rjdDP,Default Response Set,Anonymous,,,131.212.249.4,0,2016-07-20 12:09:07,2016-07-20 12:10:57,1,1,231,3,5,1,2,,,,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_10AZPB2pKgp0j9w,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-20 14:03:23,2016-07-20 14:09:05,1,1,237,3,1,1,1,,,1,,,,,1,,,,,44.97590637207,-93.216598510742,-1,
R_3rNdIrvuxzdHV1Q,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-20 14:09:06,2016-07-20 14:12:11,1,1,238,3,1,3,1,,,,,,,,,,,,1,44.97590637207,-93.216598510742,-1,
R_WDtapgTJJLmO76h,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-20 14:18:18,2016-07-20 14:21:18,1,1,240,3,5,1,1,,,,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_1KlN6W6X1zbZCZM,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-20 14:29:32,2016-07-20 14:32:26,1,1,245,3,1,2,1,No significant differences were observed between CR and CR + EX at baseline.,,,,,,,,,,,1,44.97590637207,-93.216598510742,-1,
R_269hKsesUaKtOHD,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-20 14:32:27,2016-07-20 14:38:53,1,1,246,3,1,1,1,,,,1,"Before the training intervention, no significant / differences were observed between the groups",,,1,,,,,44.97590637207,-93.216598510742,-1,
R_1f6CXCUCcMpib0v,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-20 14:38:54,2016-07-20 14:42:03,1,1,247,3,5,2,1,,,,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_10pYtjK5mSFwdVu,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-20 21:02:38,2016-07-20 21:05:16,1,3,210,3,5,1,2,doesn't seem like put in distinct groups (counterbalanced) for crossover,,,,,,,,,,,,44.804595947266,-93.137100219727,-1,
R_1QaX9GdUBiUxZwU,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-20 21:15:08,2016-07-20 21:17:06,1,3,215,3,1,1,1,,,,1,"There were no significant differences between HET, HFT, and CON at pretest with regard to age, height, body mass, leg length, stance phase duration, swing phase duration, freely chosen stride frequencies during walking and running, and freely chosen pedalling frequency (p = 0.233–0.955) (Stride characteristics data are presented in Tables 1 and 2).",,,1,,,,,44.804595947266,-93.137100219727,-1,
R_2ztKFR4lu6Gghwg,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-20 21:17:07,2016-07-20 21:19:32,1,3,216,3,1,2,2,,,1,,,,,,,,,,44.804595947266,-93.137100219727,-1,
R_RwwuXE5DlJkjhOF,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-20 21:19:33,2016-07-20 21:21:37,1,3,217,3,1,1,2,,,1,,,,,,,,,,44.804595947266,-93.137100219727,-1,
R_1row3D9oWXoZsFs,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-20 21:21:38,2016-07-20 21:33:05,1,3,218,3,5,3,2,,,,,,,,,,,,,44.804595947266,-93.137100219727,-1,
R_eaMHQaUm1ZtDzTX,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-20 21:33:06,2016-07-20 21:34:09,1,3,221,3,1,1,1,,,,1,"etween the groups, there were no significant differences for anthropometric measures (age: p = 0.843; body mass: p = 0.295; height: p = 0.357), overall spectral power (60 rpm: p = 0.939; 90rpm: p=0.968; 120rpm: p=0.993) and aerobic performance (VO2MAX: p=0.642; PMAX: p=0.462; PIANS: p=0.431) at baseline.",,,1,,,,,44.804595947266,-93.137100219727,-1,
R_xgD7hsdAlEKe1LX,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-20 21:34:10,2016-07-20 21:35:59,1,3,222,3,1,1,2,,,1,,,,,,,,,,44.804595947266,-93.137100219727,-1,
R_2BfehOJhAvGpBRe,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-20 21:36:00,2016-07-20 21:36:50,1,3,225,3,1,1,1,,,,,,,1,,,,,,44.804595947266,-93.137100219727,-1,
R_3nV340lFDVGnF1v,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-20 21:36:51,2016-07-20 21:37:34,1,3,227,3,1,1,1,,,,,,,1,,,,,,44.804595947266,-93.137100219727,-1,
R_3GBV16cPXU8ULMN,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-20 21:37:35,2016-07-20 21:40:53,1,3,228,3,1,1,1,,,1,,,,,1,,,,,44.804595947266,-93.137100219727,-1,
R_1QKiIPwxHMOKsdw,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-20 21:40:54,2016-07-20 21:41:51,1,3,229,3,1,2,1,,,,,,,1,,,,,,44.804595947266,-93.137100219727,-1,
R_vMHl35nhSANyRB7,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-20 21:41:53,2016-07-20 21:42:55,1,3,230,3,1,1,1,,,,1, / There were no significant differences between E+S and E in any of the measured variables at baseline.,,,1,,,,,44.804595947266,-93.137100219727,-1,
R_2uEQoiMkxgfvtGo,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-20 21:42:56,2016-07-20 21:45:27,1,3,231,3,5,1,2,Tricky...I don't think this is RCT because no control group,,,,,,,,,,,,44.804595947266,-93.137100219727,-1,
R_VPTnYiOVFqk2iyt,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-20 21:51:14,2016-07-20 21:52:07,1,3,238,3,1,3,1,No signi cant differences between the groups,,,,,,,,,,,1,44.804595947266,-93.137100219727,-1,
R_12mtznt3pT5CqTK,Default Response Set,Anonymous,,,107.4.167.91,0,2016-07-20 21:54:21,2016-07-20 21:55:26,1,3,240,3,5,1,1,no control,,,,,,,,,,,,44.804595947266,-93.137100219727,-1,
R_2yg3SCZdA9rs8U0,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 11:39:50,2016-07-21 11:48:47,1,1,251,3,5,1,1,,,,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_T5XQM4Po56Cdvi1,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 11:48:48,2016-07-21 11:51:48,1,1,252,3,1,1,1,,,1,,,,,1,,,,,44.97590637207,-93.216598510742,-1,
R_Opbafg1oWwUFJER,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 11:54:18,2016-07-21 11:59:54,1,1,254,3,1,2,2,,,1,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_1EfZDvUCkEyrRUz,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 11:59:55,2016-07-21 12:02:56,1,1,255,3,1,2,1,,,1,,,,,1,,,,,44.97590637207,-93.216598510742,-1,
R_7R5ZgyTbKwFw8vv,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 12:02:57,2016-07-21 12:04:49,1,1,256,3,1,1,1,,,1,,,,,1,,,,,44.97590637207,-93.216598510742,-1,
R_sTD6ULrl0ViAE9z,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 12:04:50,2016-07-21 12:06:37,1,1,257,3,1,2,1,Table 3 has baseline info and p-values.,,,,,,1,,,,,,44.97590637207,-93.216598510742,-1,
R_UhhGHRZeQOtiDrH,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 12:12:17,2016-07-21 12:15:05,1,1,262,3,1,2,2,,,1,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_ZLilX8hhzeR2ARH,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 12:15:06,2016-07-21 12:23:36,1,1,263,3,1,1,1,,,,,,,,,,,1,,44.97590637207,-93.216598510742,-1,
R_W6Qk4j9ks1VllSx,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 12:23:37,2016-07-21 12:27:04,1,1,264,3,1,1,1,,,1,,,,,1,,,,,44.97590637207,-93.216598510742,-1,
R_1imSy2p6Isxkd3i,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 12:27:05,2016-07-21 12:29:42,1,1,266,3,1,1,1,,,,,,,1,,,,,,44.97590637207,-93.216598510742,-1,
R_8GuRXiJSmI7GcJr,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 12:29:42,2016-07-21 12:30:47,1,1,267,3,1,3,1,,,,,,,1,,,,,,44.97590637207,-93.216598510742,-1,
R_1K40ZX2Ufncajvt,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 12:34:11,2016-07-21 12:59:43,1,1,272,3,1,1,1,,,1,,,,,1,,,,,44.97590637207,-93.216598510742,-1,
R_295Px3mrivkMXQx,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 12:59:44,2016-07-21 13:02:08,1,1,273,3,5,1,1,,,,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_3Lh6WI63HWwgpnn,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 13:02:09,2016-07-21 13:06:27,1,1,274,3,1,1,1,Unclear if plus or minus was SD or SE.,,1,,,,,1,,,,,44.97590637207,-93.216598510742,-1,
R_1DYWER1MYhRCwEr,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 13:06:28,2016-07-21 13:09:02,1,1,276,3,1,1,2,,,1,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_3gMmAiBxkaYlZKl,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 13:09:03,2016-07-21 13:12:53,1,1,278,3,1,2,1,,,,,,,1,,,,,,44.97590637207,-93.216598510742,-1,
R_26bwXtHEIcicc2d,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 13:17:51,2016-07-21 13:20:22,1,1,280,3,1,2,1,,,1,,,,,1,,,,,44.97590637207,-93.216598510742,-1,
R_0eRmlr9qNzCpbEx,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 13:28:18,2016-07-21 13:28:57,1,1,283,3,3,2,1,,,,1,There were nostatistically significant differences between intervention and con-trol groups for primary or secondary outcomes at baseline.,,,1,,,,,44.97590637207,-93.216598510742,-1,
R_Xodslp4wc3Rpl3r,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 13:28:59,2016-07-21 13:32:16,1,1,284,3,1,1,1,,,1,,,,,1,,,,,44.97590637207,-93.216598510742,-1,
R_3iJf2pYVAmY1eyl,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 13:27:23,2016-07-21 13:35:51,1,1,285,3,1,3,1,,,,1,No significant differences in / baseline characteristics were seen between groups.,,,1,,,,,44.97590637207,-93.216598510742,-1,
R_3gU52ryO82RYuQR,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 13:42:56,2016-07-21 13:43:22,1,1,288,3,1,2,1,Table 2 has baseline info mixed with other info with p-values.,,,,,,1,,,,,,44.97590637207,-93.216598510742,-1,
R_sGygLVf89aU0SFb,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 13:51:14,2016-07-21 13:54:26,1,1,290,3,1,1,2,,,,1,"Baseline demographic and fitness variables, between the twogroups, and the number of exercise sessions attended were com-pared with independent samples t-test.",,,,,,,,44.97590637207,-93.216598510742,-1,
R_2sZ3Et85WOH5vOg,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 13:54:27,2016-07-21 13:55:21,1,1,292,3,5,5,2,,,,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_2dK2zJK9OBhPZsq,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 16:11:43,2016-07-21 16:24:04,1,1,294,3,5,1,2,,,,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_3HMpR9YQzUTtpo1,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 16:24:05,2016-07-21 16:41:32,1,1,295,3,1,3,1,,,,1,There were no significant mean differencesat pre-intervention between groups in any of the steps variables.,,,1,,,,,44.97590637207,-93.216598510742,-1,
R_2CdXC2iuMldkubl,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 16:41:33,2016-07-21 16:43:04,1,1,296,3,1,1,1,,,,,,,1,,,,,,44.97590637207,-93.216598510742,-1,
R_1dmYbZeipMTPxih,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 16:43:04,2016-07-21 16:48:10,1,1,297,3,1,2,2,,,1,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_wY4LuVfVWFdc8g1,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 16:51:05,2016-07-21 16:54:29,1,1,300,3,1,1,2,,,1,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_z5MIYDSCeMZJtZL,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 16:57:15,2016-07-21 16:57:58,1,1,304,3,1,2,1,,,,,,,1,,,,,,44.97590637207,-93.216598510742,-1,
R_29QpZA4J7h7KDrb,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 16:57:59,2016-07-21 17:02:54,1,1,305,3,5,1,2,,,,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_2TTuoxaSrekuZTN,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 17:02:55,2016-07-21 17:04:16,1,1,307,3,1,2,1,,,,1,"At baseline, no statistically significant differences in / any characteristics were observed between the groups, except / that the subjects in the exercise group were slightly taller.",,,1,,,,,44.97590637207,-93.216598510742,-1,
R_qDFRiwtT23KPGw1,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 17:04:17,2016-07-21 17:05:12,1,1,310,3,1,1,1,,,,,,,1,,,,,,44.97590637207,-93.216598510742,-1,
R_3ejZrOdM7rQ5X68,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 17:05:13,2016-07-21 17:06:10,1,1,311,3,1,2,1,,,,,,,1,,,,,,44.97590637207,-93.216598510742,-1,
R_3JDAVpoIC5GSh4L,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 17:06:11,2016-07-21 17:08:12,1,1,313,3,1,2,1,,,,1,"The groups were similar for all baseline / characteristics except PSFS scores, which / in the LMC group were significantly / lower.",,,1,,,,,44.97590637207,-93.216598510742,-1,
R_sFpLBweoLJIEVQR,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 17:08:13,2016-07-21 17:13:34,1,1,315,3,1,3,2,,,1,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_Od5ksM643vedg77,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 17:13:34,2016-07-21 17:15:32,1,1,317,3,1,3,1,,,,1,"At baseline, no significant differences / were found for the candidate variables",,,1,,,,,44.97590637207,-93.216598510742,-1,
R_un7bhnh3mYAjYKl,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 17:19:39,2016-07-21 17:21:33,1,1,319,3,1,1,1,,,1,,,,,1,,,,,44.97590637207,-93.216598510742,-1,
R_2UfiWicIUDQvYUW,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 17:30:09,2016-07-21 17:32:00,1,1,326,3,1,1,1,,,,1,Participant characteristics did not differ between groups at / baseline (Table 1; P  0.05).,,,1,,,,,44.97590637207,-93.216598510742,-1,
R_D0jVXOu7SzUU1Vv,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 17:32:01,2016-07-21 17:32:49,1,1,328,3,1,2,1,,,,,,,1,,,,,,44.97590637207,-93.216598510742,-1,
R_1HiTPhf8VhB7m7q,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 17:32:50,2016-07-21 17:36:49,1,1,330,3,1,3,1,,,1,,,,,1,,,,,44.97590637207,-93.216598510742,-1,
R_3GCU9CBKwSp1MxV,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 17:36:50,2016-07-21 17:40:07,1,1,332,3,1,1,2,,,1,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_3NVzZA8hK5kyDRf,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 17:40:08,2016-07-21 17:41:17,1,1,333,3,1,2,1,,,,,,,1,,,,,,44.97590637207,-93.216598510742,-1,
R_1k0mN73I1Vk0Opl,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 17:41:18,2016-07-21 17:44:10,1,1,335,3,1,2,2,,,,1,"As a randomization check, the IT and DT groups were / compared on all demographic and trait characteristics / measured at baseline.",,,,,,,,44.97590637207,-93.216598510742,-1,
R_3De7R5nbo54amY6,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 17:44:11,2016-07-21 17:46:24,1,1,337,3,1,2,1,,,1,,,,,1,,,,,44.97590637207,-93.216598510742,-1,
R_1reva5ju2JUVuFI,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 17:46:25,2016-07-21 17:48:51,1,1,338,3,1,1,2,,,1,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_23aaHnWzuGmUHAb,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 17:48:51,2016-07-21 17:51:08,1,1,340,3,5,1,2,,,,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_5mt1ZjYcx4gxQbv,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 17:51:09,2016-07-21 17:54:23,1,1,341,3,1,3,1,,,,1,No / significant differences were noted in baseline characteristics / between patients in the two treatment arms (table 1⇓),,,1,,,,,44.97590637207,-93.216598510742,-1,
R_3qkyFEt008rgwqu,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 17:54:25,2016-07-21 17:56:19,1,1,342,3,1,1,1,,,,1,"There was a significant difference / between groups for hip flexion angle at / baseline (F2,33 = 3.74, P = .03).",,,1,,,,,44.97590637207,-93.216598510742,-1,
R_3HAHQH840cMYIhf,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 21:42:50,2016-07-21 21:46:19,1,1,343,3,5,1,1,Pseudorandomized.,,,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_TbEiaSGm5OZFApH,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 21:46:20,2016-07-21 21:51:12,1,1,350,3,5,1,1,No randomization of intervention.,,,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_2qjG1ZQno4CsRkv,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 21:53:50,2016-07-21 21:57:46,1,1,352,3,1,2,1,,,1,,,,,1,,,,,44.97590637207,-93.216598510742,-1,
R_1DumH8LEw08tcQJ,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 22:13:30,2016-07-21 22:20:40,1,1,359,3,1,2,2,,,1,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_3PFTfeobMVEuokj,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 22:25:37,2016-07-21 22:27:03,1,1,363,3,1,1,1,,,,,,,1,,,,,,44.97590637207,-93.216598510742,-1,
R_3s1GJVw83XYv8C1,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 22:27:06,2016-07-21 22:29:31,1,1,364,3,1,2,1,,,,,,,,,,,1,,44.97590637207,-93.216598510742,-1,
R_1jqyxKxqr8Eh6ym,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 22:29:33,2016-07-21 22:30:21,1,1,365,3,1,1,1,,,,,,,1,,,,,,44.97590637207,-93.216598510742,-1,
R_4TRY0OSreFYdp3v,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 22:35:38,2016-07-21 22:35:46,1,1,372,3,5,1,2,Unclear control.,,,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_2EgwJf4FpP5N8U8,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 22:34:55,2016-07-21 22:41:39,1,1,373,3,5,1,2,,,,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_3D6nTwJZnKLKBPr,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-21 22:44:58,2016-07-21 22:50:06,1,1,376,3,5,1,2,,,,,,,,,,,,,44.97590637207,-93.216598510742,-1,
R_1i8WRGFQ4bi7IOg,Default Response Set,Anonymous,,,107.2.100.115,0,2016-07-22 15:12:35,2016-07-22 15:15:19,1,1,380,3,1,1,2,,,1,,,,,,,,,,44.97590637207,-93.216598510742,-1,
